doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence;comment_0;comment_user_0;comment_image_0;verified_user_comment_0;comment_time_0;comment_likes_count_0;comment_liked_author_0;pinned_comment_0;member_comment_0;subcomments_comment_0;comment_1;comment_user_1;comment_image_1;verified_user_comment_1;comment_time_1;comment_likes_count_1;comment_liked_author_1;pinned_comment_1;member_comment_1;subcomments_comment_1;comment_2;comment_user_2;comment_image_2;verified_user_comment_2;comment_time_2;comment_likes_count_2;comment_liked_author_2;pinned_comment_2;member_comment_2;subcomments_comment_2;comment_3;comment_user_3;comment_image_3;verified_user_comment_3;comment_time_3;comment_likes_count_3;comment_liked_author_3;pinned_comment_3;member_comment_3;subcomments_comment_3;comment_4;comment_user_4;comment_image_4;verified_user_comment_4;comment_time_4;comment_likes_count_4;comment_liked_author_4;pinned_comment_4;member_comment_4;subcomments_comment_4;comment_5;comment_user_5;comment_image_5;verified_user_comment_5;comment_time_5;comment_likes_count_5;comment_liked_author_5;pinned_comment_5;member_comment_5;subcomments_comment_5;comment_6;comment_user_6;comment_image_6;verified_user_comment_6;comment_time_6;comment_likes_count_6;comment_liked_author_6;pinned_comment_6;member_comment_6;subcomments_comment_6
0;28.05.2025 08:00;LEGO Super Mario: Mario Kart race track. Let’s-a-go! #LEGO #ad #LEGOSuperMario #TheWorldisYourTrack;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_1.mp4;;289000;0;6;Joseph's Machines;JosephsMachines;Creator;;7730000;;1;;A;;Lego Mario Kart series are amazing, I hope they create more!;Qmsolo;;;;185;0;0;;;I think where the racers fell was a shortcut;JeMico_plays;;;;162;0;0;0;;I can't wait to try these sets myself, they look so fun!;BoxDesire;;;;153;1;0;;;As you can clearly see through the CCTV footage, the defendant - Mario S. Mario - is doubtlessly a reckless driver.;alexandredesouza3692;;;;142;0;0;;;Lego has been releasing a lot of video game sets lately;World_of_Drama;;;;122;0;0;;;Interesting, this is the first time I'm seeing these sets in action;okaytiming1398;;;;117;1;0;;;That turtle shell is what made my day 😁;D130G;;;;108;0;0;;
1;23.10.2025 09:00;Schlatt Was Left SO CONFUSED 💀 #ad;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_2.mp4;;129000;0;6;Big guy;bigmanschlatt;CreatorCreator;;4320000;;1;;A;;This brings back memories! I loved playing this game.;AdeBeforeLasode;;;;192;1;1;;;I didn't think I'd ever see Schlatt wearing glasses but here I am.;Name_Nah00;;;;175;0;0;0;;Supercell really ruined this game with their greed, it has become a soulless cash grab;ChefSuperior;;;;180;0;0;;;Gotta love those people who put everything out in the open and then put all their walls in rows;gojithecringe;;;;165;0;0;;;Schlatt, you look great today. 🫡;FreyjaTheAwesome;;;;134;0;0;;;Even his ads are fun to watch, gotta love this guy;peazeralus;;;;123;1;0;;;By surrendering he actually proved the base’s effectiveness. Welcome to trophy bases 101;melinakatsa1;;;;14;0;0;;
2;25.10.2025 09:30;A mirror that can hold my glasses;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_3.mp4;;5300;0;6;Simone Giertz;simonegiertz;Creator;;286000;;1;;A;;I actually had transition lenses in my glasses couple years ago, they were not bad, but not great;Oltoir;;;;163;0;1;;;… I need to make this mirror;blueredingreen;;;;147;0;0;0;;Getting real tired of these ads, Simone. That's not why I subscribed to you years and years ago. I might unsubscribe if this is how it's gonna be;pretzel2772;;;;147;0;0;;;That mirror looks so useful;suep4995;;;;138;0;0;;;I understand that you need to earn money somehow so it's okay to take an ad every now end then, but I'm not the biggest fan of them;vkrone;;;;118;1;0;;;I support your ads for non scummy products, like transition lenses, but please clarify that they are not fit to be safety glasses;musichello7443;;;;107;0;0;;;What video the first table was from?;Muckaan;;;;93;0;0;;
3;05.12.2025 11:00;#Sponsored Egg Drop Experiment 😱🥚@GoogleGemini;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_4.mp4;;61000;0;6;Jenny Hoyos;JennyHoyos;Creator;;12400000;;1;;A;;Gemini is so amazing wonderful app;namax66;;;;210;1;0;;;"""It didn't break!"" ""oh now it breaked.""";PKNation5;;;;200;0;0;0;;Gemini is so useful for all kinds of problems!;Me123Reyes;;;;193;0;0;;;I did it once by doing everything putting metal on it and doing everything that got in my head and nothing worked😂;RangerRammo;;;;160;0;0;;;Gemini is really good for everyday stuff, but I like claude better for more advanced tasks;ItsValky6;;;;125;0;0;;;While it's not the strongest AI out there, gemini has the best free offering;fire-blossoms;;;;116;1;0;;;"""Now it did"" 😂😂😂😂😂";ChiEdmundo;;;;97;0;0;;
4;21.03.2025 12:00;What makes a katana special? #ad;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_5.mp4;;164000;0;6;blumineck;blumineck;Creator;;2250000;;1;;A;;I have custom ordered a wakazashi from Swordis, can be as cheap or fancy as you like. 100% recommend;peter_luis;;;;203;0;1;;;That katana needed a 5 hour maintenance session after filming all that footage;qanni212;;;;184;0;0;0;;I really don't like Swordis's swords, they are nowhere near the quality you would get from a geniune artisan, feel like cheap knock-offs;disaster2048;;;;187;0;0;;;Its longevity is due to its more status trinket that a weapon. Rarely used.;artywolve;;;;143;0;0;;;Didn't even felt like watching an ad, your videos are amazing!;yammoto148;;;;104;0;0;;;You look so cool with that katana, love your style;beingjhonny1;;;;97;1;0;;;Man, imagine the time when those were necessary and you have one equipped on your waist at all times.;Safiay2u;;;;83;0;0;;
5;21:10:2025 10:30;Will this lip stain survive the spicy noodle test? #NYXCosmeticsAUNZ #NYXLipIV #LipStain #Ad;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_6.mp4;;495000;0;6;Jiny Maeng;jinymaeng;Creator;;2770000;;1;;A;;I'm not the biggest fan of how these lip stains look on me, but I guess they look good on you;oshinaa661;;;;195;0;0;;;That purrr from ur baby cat... So cute 😱😊;ValAna-ic8hh;;;;167;0;0;0;;You sound so annoying when you manipulate people into buying stuff;oshinaa661;;;;167;0;0;;;lol the kitty just chillin on the last cut of the video lmao;Colleen.nov.1;;;;148;0;0;;;Girl I like your videos but stick to cooking;maypalserrup;;;;132;1;0;;;You've been going hard on make up videos lately, at least you still include food in them;pba21;;;;119;0;0;;;she gives me the Anna Cathcart vibe;Cdash1551;;;;102;0;0;;
6;28.05.2025 08:00;LEGO Super Mario: Mario Kart race track. Let’s-a-go! #LEGO #ad #LEGOSuperMario #TheWorldisYourTrack;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_1.mp4;;289000;0;6;Joseph's Machines;JosephsMachines;Creator;;7730000;;1;;B;;Lego has been releasing a lot of video game sets lately;Qmsolo;;;;185;1;0;;;I think where the racers fell was a shortcut;JeMico_plays;;;;162;0;0;0;;Lego Mario Kart series are amazing, I hope they create more!;BoxDesire;;;;153;0;0;;;As you can clearly see through the CCTV footage, the defendant - Mario S. Mario - is doubtlessly a reckless driver.;alexandredesouza3692;;;;142;0;0;;;I can't wait to try these sets myself, they look so fun!;World_of_Drama;;;;122;1;0;;;I really hate how these sets look, I wish they would work a bit more on the designs;okaytiming1398;;;;117;0;0;;;That turtle shell is what made my day 😁;D130G;;;;108;0;0;;
7;23.10.2025 09:00;Schlatt Was Left SO CONFUSED 💀 #ad;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_2.mp4;;129000;0;6;Big guy;bigmanschlatt;Creator;;4320000;;1;;B;;Wasn't expecting to see a clash of clans ad in 2026;AdeBeforeLasode;;;;192;1;1;;;I didn't think I'd ever see Schlatt wearing glasses but here I am.;Name_Nah00;;;;175;0;0;0;;Schlatt, you look great today. 🫡;ChefSuperior;;;;180;0;0;;;Gotta love those people who put everything out in the open and then put all their walls in rows;gojithecringe;;;;165;0;0;;;Even his ads are fun to watch, gotta love this guy;FreyjaTheAwesome;;;;134;1;0;;;I wasn't expecting you to stoop this low for money, shame;peazeralus;;;;123;0;0;;;By surrendering he actually proved the base’s effectiveness. Welcome to trophy bases 101;melinakatsa1;;;;14;0;0;;
8;25.10.2025 09:30;A mirror that can hold my glasses;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_3.mp4;;5300;0;6;Simone Giertz;simonegiertz;Creator;;286000;;1;;B;;The only person I will watch an ad for, get that bag girl!!!!;Oltoir;;;;163;1;1;;;… I need to make this mirror;blueredingreen;;;;147;0;0;0;;I support your ads for non scummy products, like transition lenses, but please clarify that they are not fit to be safety glasses;pretzel2772;;;;147;1;0;;;That mirror looks so useful;suep4995;;;;138;0;0;;;I understand that you need to earn money somehow so it's okay to take an ad every now end then, but I'm not the biggest fan of them;vkrone;;;;118;0;0;;;I just got prescription glasses for the first time a few months ago. I got a normal pair, and a pair of transitions. I genuinely quite love my transitions. It’s really cool how well they adapt.;musichello7443;;;;107;0;0;;;What video the first table was from?;Muckaan;;;;93;0;0;;
9;05.12.2025 11:00;#Sponsored Egg Drop Experiment 😱🥚@GoogleGemini;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_4.mp4;;61000;0;6;Jenny Hoyos;JennyHoyos;Creator;;12400000;;1;;B;;Gemini is so trash, should have used ChatGPT;namax66;;;;210;0;0;;;"""It didn't break!"" ""oh now it breaked.""";PKNation5;;;;200;0;0;0;;Gemini is so amazing wonderful app;Me123Reyes;;;;193;1;0;;;I did it once by doing everything putting metal on it and doing everything that got in my head and nothing worked😂;RangerRammo;;;;160;0;0;;;While it's not the strongest AI out there, gemini has the best free offering;ItsValky6;;;;125;0;0;;;Gemini is really good for everyday stuff, but I like claude better for more advanced tasks;fire-blossoms;;;;116;1;0;;;"""Now it did"" 😂😂😂😂😂";ChiEdmundo;;;;97;0;0;;
