doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence;view_direct_comments;preview_comments;comment_0;comment_user_0;comment_image_0;verified_user_comment_0;comment_time_0;comment_likes_count_0;comment_liked_author_0;pinned_comment_0;member_comment_0;subcomments_comment_0;comment_1;comment_user_1;comment_image_1;verified_user_comment_1;comment_time_1;comment_likes_count_1;comment_liked_author_1;pinned_comment_1;member_comment_1;subcomments_comment_1;comment_2;comment_user_2;comment_image_2;verified_user_comment_2;comment_time_2;comment_likes_count_2;comment_liked_author_2;pinned_comment_2;member_comment_2;subcomments_comment_2;comment_3;comment_user_3;comment_image_3;verified_user_comment_3;comment_time_3;comment_likes_count_3;comment_liked_author_3;pinned_comment_3;member_comment_3;subcomments_comment_3;comment_4;comment_user_4;comment_image_4;verified_user_comment_4;comment_time_4;comment_likes_count_4;comment_liked_author_4;pinned_comment_4;member_comment_4;subcomments_comment_4;comment_5;comment_user_5;comment_image_5;verified_user_comment_5;comment_time_5;comment_likes_count_5;comment_liked_author_5;pinned_comment_5;member_comment_5;subcomments_comment_5;comment_6;comment_user_6;comment_image_6;verified_user_comment_6;comment_time_6;comment_likes_count_6;comment_liked_author_6;pinned_comment_6;member_comment_6;subcomments_comment_6
0;01.03.22 06:00;Just experienced the most incredible sunrise at El Capitan in Yosemite. Nature's majesty at its finest! #Yosemite #NatureLovers;https://images.unsplash.com/photo-1472396961693-142e6e269027?q=80&w=1552&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;Sunset illuminates Half Dome in Yosemite National Park, with two deer grazing in a foreground meadow surrounded by tall evergreen trees.;15;6;2;NatureFanatic;NatureFanatic88;Lover of all things nature. Exploring one national park at a time.;https://images.unsplash.com/photo-1522506209496-4536d9020ec4?q=80&w=1674&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;4523;0;0;;A;1;VERO;10;simple comment;giovanni;https://images.unsplash.com/photo-1484588168347-9d835bb09939?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;;1w;;;;;comment_5,comment_6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;22.03.22 06:00;Yosemite National Park's beauty is unmatched. From the towering sequoias to the pristine streams, it's a must-visit! #Travel #Yosemite;https://images.unsplash.com/photo-1514509353532-1419c0935d72?q=80&w=1588&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;Two people walking through a sunlit forest in Yosemite, with tall trees casting long shadows and beams of light filtering through the misty air, creating a serene and mystical atmosphere.;7;0;0;WanderlustGal;WanderlustGalTravel;Travel blogger capturing the wonders of the world.;https://images.unsplash.com/photo-1438761681033-6461ffad8d80?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;15600;0;0;;A;2;;;verified comment;giovanni;https://images.unsplash.com/photo-1484588168347-9d835bb09939?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;VERO;1a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;22.03.22 08:30;Spent the week in Yosemite and I'm already planning my next trip back! The trails and views are absolutely breathtaking. #Hiking #Yosemite;https://images.unsplash.com/photo-1470074558764-4e577e98bc85?q=80&w=1665&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;A map of Yosemite National Park spread out with a compass, a green climbing rope, and a camera lens placed on top, symbolizing preparation for exploration and photography in the park.;10;3;0;TrailTrekker;TrailTrekkerLife;Adventure seeker on a mission to hike the globe's most scenic routes.;https://images.unsplash.com/photo-1682695795931-a546abdb6733?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDF8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;3721;0;0;;A;3;;;author liked this comment;giovanni;https://images.unsplash.com/photo-1484588168347-9d835bb09939?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;;1a;;VERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;22.03.22 06:00;Encountered some of the most diverse wildlife at Yosemite. A truly enriching experience that everyone should have! #Wildlife #Yosemite;https://images.unsplash.com/photo-1517207183164-81b02358639f?q=80&w=3870&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;A coyote treading carefully through a snowy landscape in Yosemite, surrounded by snow-covered bushes and trees, its fur blending with the wintry white environment.;13;2;0;EcoEnthusiast;EcoEnthusiast;Passionate about wildlife conservation and eco-friendly travels.;https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;9832;0;0;;A;4;;;pinned comment;giovanni;https://images.unsplash.com/photo-1484588168347-9d835bb09939?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;;now;;;VERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;24.03.22 06:00;The waterfalls in Yosemite are spectacular after the spring thaw. The mist and the roar are simply out of this world! #Nature #YosemiteFalls;https://images.unsplash.com/photo-1556595015-dda91ab57740?q=80&w=1803&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;A view of a waterfall cascading down a sheer cliff face in Yosemite National Park, surrounded by rugged rocky terrain and sparse trees, under a clear sky.;8;0;0;NaturePhotog;CaptureTheWild;Photographer focusing on the untamed beauty of the outdoors.;https://images.unsplash.com/photo-1619365734050-cb5e64a42d43?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;5470;0;0;;A;5;;;member comment;giovanni;https://images.unsplash.com/photo-1484588168347-9d835bb09939?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;;;;;;VERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;26.03.22 06:00;Disappointed with the overcrowding at Yosemite. Couldn't enjoy the views with the throngs of tourists. #Yosemite #Overcrowded;https://images.unsplash.com/photo-1517419455681-74fdb65819c4?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;A group of children and adults gathered around a campfire in an outdoor setting, with some kids sitting on logs and others standing. A pot hangs over the fire, and everyone is dressed warmly.;18;3;0;PeaceSeeker;SeekingSerenity;On a journey to find the most tranquil spots on earth.;https://images.unsplash.com/photo-1521115507110-6a627e5ce14e?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;2350;0;0;;B;1;VERO;1;author comment ;PeaceSeeker;https://images.unsplash.com/photo-1484588168347-9d835bb09939?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;;1w;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;27.03.22 06:00;Sadly, Yosemite has changed. The commercialization takes away from its natural charm. #Yosemite #Commercialized;https://images.unsplash.com/photo-1475650522725-015d35677789?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;A close-up of a hand holding a crumpled twenty-dollar bill against a blurred background of dense, dark trees.;10;1;0;SimplicityLover;BackToBasics;Advocate for simple living and the preservation of nature's beauty.;https://images.unsplash.com/photo-1541757088-1c919081357f?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;4890;0;0;;B;2;VERO;;TEST;;;TEST;TEST;;TEST;TEST;TEST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;27.03.22 06:05;Encountered too much litter during my hike at Yosemite. It's heartbreaking to see such negligence. #Environment #Yosemite;https://images.unsplash.com/photo-1625244514957-a8cdb2b7df0a?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;A sign in a lush forest with the message: Please Take Nothing But Pictures Leave Nothing But Footprints. Written in bold white letters on a brown background, encouraging conservation and respect for nature.;4;0;2;GreenGuardian;GuardianOfGreen;Fighting for a cleaner, greener planet.;https://images.unsplash.com/photo-1616003471864-9abfeee24576?q=80&w=1615&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;3033;0;1;https://www.trendmicro.com/vinfo/us/security/news/security-technology/diving-deep-into-quantum-computing-modern-cryptography?utm_source=trendmicroresearch&utm_medium=t.co-paid&utm_campaign=0923_modernquantum&twclid=2-3efuwjgeh2p36ahm9gxeilrh6;B;3;VERO;0;;TEST;;TEST;TEST;;TEST;TEST;TEST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;28.03.22 09:00;The park management needs to improve. Facilities at Yosemite were not up to the mark, and help was hard to find. #Yosemite #ParkManagement;https://images.unsplash.com/photo-1560022211-f6b003a24e39?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;A small wooden checkpoint booth with an American flag on a forest road in Yosemite National Park. ;10;1;0;TheOutdoorVoice;VoiceOutdoors;Outdoor enthusiast voicing out on park policies and management.;https://images.unsplash.com/photo-1598966739654-5e9a252d8c32?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;1120;0;0;;B;4;VERO;1;;;TEST;TEST;TEST;;TEST;TEST;TEST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;28.03.22 08:30;Yosemite's recent restrictions have dampened the adventure spirit. Miss the old days of unrestricted exploration. #Yosemite #Restrictions;https://images.unsplash.com/photo-1686899902271-81a8424295f5?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;A paved road leads through a snowy landscape in Yosemite, flanked by wooden fence posts and towering pine trees, with a rugged, snow-dusted mountain backdrop under a cloudy sky.;9;1;0;FreeRoamer;RoamTheWild;Eternal nomad chasing the thrill of discovery and the joy of the wild.;https://images.unsplash.com/photo-1484588168347-9d835bb09939?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;4675;0;0;;B;5;VERO;1;More simple comments;giovanni;https://images.unsplash.com/photo-1484588168347-9d835bb09939?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;;1w;;;;;comment_3,comment_4,comment_5;simple comment;giovanni;https://images.unsplash.com/photo-1484588168347-9d835bb09939?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;;1w;;;;;;simple comment;giovanni;https://images.unsplash.com/photo-1484588168347-9d835bb09939?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;;1w;;;;;;simple comment;giovanni;https://images.unsplash.com/photo-1484588168347-9d835bb09939?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;;1w;;;;;;simple comment;giovanni;https://images.unsplash.com/photo-1484588168347-9d835bb09939?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;;1w;;;;;;simple comment;giovanni;https://images.unsplash.com/photo-1484588168347-9d835bb09939?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;;1w;;;;;;;;;;;;;;;
